ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-94,Source2,2,2016-02-11 07:18:39,2016-02-11 07:48:39,39.858089,-82.827904,,,0.01,Accident on US-33 Columbus Lancaster Rd at OH-674 Gender Rd. Expect delays.,Gender Rd,Canal Winchester,Franklin,OH,43110,US,US/Eastern,KLCK,2016-02-11 07:15:00,5.0,-2.1,81.0,30.2,10.0,SW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-932,Source2,3,2016-06-22 18:45:07,2016-06-22 19:15:07,37.830669,-122.293343,,,0.0,Accident on I-80 I-580 Westbound at Exit 19A I-80 I-580.,I-580 W,Emeryville,Alameda,CA,94608,US,US/Pacific,KOAK,2016-06-22 18:53:00,63.0,,65.0,30.0,10.0,WSW,11.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7091,Source2,3,2016-12-14 11:38:11,2016-12-14 12:07:41,37.893837,-122.066704,,,0.01,Accident on I-680 Northbound at Exits 45B 46A 46B CA-24.,I-680 N,Walnut Creek,Contra Costa,CA,94596,US,US/Pacific,KCCR,2016-12-14 11:32:00,57.9,,81.0,30.03,6.0,Calm,,,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-8020,Source2,3,2016-12-21 10:33:38,2016-12-21 11:03:00,37.70071400000001,-121.773895,,,0.01,Right hand shoulder blocked due to accident on I-580 Westbound near Exits 52 52B County Hwy-J2 Livermore Ave.,N Livermore Ave,Livermore,Alameda,CA,94551,US,US/Pacific,KLVK,2016-12-21 10:53:00,57.9,,47.0,30.13,10.0,WSW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-22787,Source2,2,2016-10-02 17:49:34,2016-10-02 18:34:15,38.473328,-120.626007,,,0.0,Accident on Rams Horn Grade both ways at Shake Ridge Rd.,Rams Horn Grade,Volcano,Amador,CA,95689-9701,US,US/Pacific,KPVF,2016-10-02 17:55:00,50.0,,94.0,30.01,10.0,SE,5.8,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-27547,Source2,2,2016-08-16 15:48:52,2016-08-16 17:03:52,37.950302,-121.28971100000001,,,0.0,Accident on CA-4 Ort J Lofthus Fwy Westbound at Exits 65A 65B I-5.,Ort J Lofthus Fwy W,Stockton,San Joaquin,CA,95203,US,US/Pacific,KSCK,2016-08-16 15:55:00,98.1,,16.0,29.8,10.0,NW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-33738,Source2,2,2016-04-08 13:45:50,2016-04-08 14:15:50,37.513538,-122.48768600000001,,,0.0,Accident on Sea Crest Ct at Bridgeport Dr.,Bridgeport Dr,Half Moon Bay,San Mateo,CA,94019-4243,US,US/Pacific,KHAF,2016-04-08 13:35:00,59.0,,100.0,29.93,4.0,SW,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-37877,Source2,3,2016-05-09 20:08:17,2016-05-09 20:55:00,37.663776,-122.10590400000001,,,0.01,Accident on I-880 Northbound at I-880 Exit 29 / A St. On exit ramp.,I-880 N,Hayward,Alameda,CA,94541,US,US/Pacific,KHWD,2016-05-09 19:54:00,57.0,,77.0,29.97,10.0,NW,12.7,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-44667,Source2,3,2016-06-27 14:08:58,2016-06-27 15:08:58,34.110424,-118.334579,,,0.0,Accident on US-101 Southbound near Odin St.,Hollywood Fwy S,Los Angeles,Los Angeles,CA,90068,US,US/Pacific,KBUR,2016-06-27 13:53:00,93.0,,36.0,29.88,10.0,Variable,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-48211,Source2,2,2016-07-12 12:13:56,2016-07-12 12:58:56,32.713692,-117.147575,,,0.0,#3 lane blocked due to accident on CA-94 Westbound at Exit 1A I-5.,I-5 N,San Diego,San Diego,CA,92101,US,US/Pacific,KSAN,2016-07-12 11:51:00,72.0,,64.0,29.96,10.0,West,9.2,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
